Accel_x,Accel_y,Accel_z
0.316,-1.048,1.09
0.322,-1.052,1.097
0.323,-1.064,1.084
0.328,-1.071,1.074
0.329,-1.085,1.053
0.34,-1.092,1.028
0.35,-1.108,1.015
0.354,-1.113,0.986
0.366,-1.125,0.968
0.496,-1.146,0.936
0.384,-1.164,0.908
0.404,-1.191,0.894
0.413,-1.221,0.862
0.432,-1.237,0.842
0.44,-1.273,0.804
0.453,-1.29,0.765
0.465,-1.322,0.745
0.481,-1.342,0.716
0.497,-1.344,0.694
0.533,-1.349,0.687
0.555,-1.357,0.675
0.598,-1.362,0.667
0.637,-1.364,0.666
0.661,-1.329,0.673
0.676,-1.264,0.684
0.717,-1.234,0.688
0.772,-1.183,0.694
0.799,-1.165,0.691
0.836,-1.123,0.689
0.849,-1.046,0.692
0.861,-0.992,0.716
0.867,-0.869,0.726
0.87,-0.741,0.743
0.873,-0.679,0.746
0.869,-0.548,0.747
0.868,-0.476,0.739
0.87,-0.328,0.729
0.872,-0.141,0.706
0.861,-0.024,0.683
0.832,0.264,0.67
0.801,0.61,0.643
0.705,0.792,0.63
0.638,1.151,0.605
0.47,1.331,0.592
0.369,1.724,0.583
0.13,1.935,0.632
-0.163,2.316,0.672
-0.332,2.62,0.783
-0.686,2.751,0.856
-0.855,2.984,1.062
-1.129,3.079,1.314
-1.348,3.252,1.45
-1.394,3.592,1.748
-1.449,3.41,2.037
-1.612,3.124,1.947
-1.863,3.134,2.001
-1.642,2.996,2.019
-1.619,2.712,2.04
-1.686,2.771,1.926
-1.671,2.615,1.704
-1.577,2.477,1.61
-1.379,2.319,1.425
-1.361,2.255,1.195
-1.246,2.139,1.088
-1.174,1.948,0.924
-1.072,1.915,0.835
-1.021,1.792,0.691
-0.873,1.721,0.617
-0.694,1.571,0.586
-0.606,1.496,0.535
-0.437,1.335,0.513
-0.349,1.176,0.502
-0.175,1.096,0.507
-0.015,0.938,0.513
0.06,0.865,0.532
0.182,0.734,0.546
0.231,0.636,0.575
0.32,0.601,0.598
0.384,0.535,0.633
0.411,0.507,0.665
0.456,0.485,0.684
0.471,0.485,0.732
0.479,0.519,0.765
0.474,0.555,0.84
0.454,0.639,0.879
0.438,0.719,0.954
0.413,0.755,1.039
0.386,0.826,1.11
0.349,0.832,1.104
0.345,0.885,1.181
0.346,0.832,1.17
0.313,0.818,1.13
0.296,0.795,1.11
0.297,0.785,1.069
0.316,0.75,1.036
0.344,0.695,1.028
0.344,0.619,1.008
0.311,0.596,0.948
0.297,0.654,0.934
0.335,0.667,0.975
0.324,0.468,0.929
0.275,0.543,0.895
0.301,0.498,0.903
0.318,0.438,0.931
0.304,0.416,0.934
0.276,0.405,0.921
0.283,0.394,0.927
0.184,-0.789,1.067
0.192,-0.788,1.099
0.189,-0.791,1.112
0.19,-0.801,1.146
0.2,-0.801,1.174
0.191,-0.827,1.177
0.186,-0.835,1.18
0.191,-0.863,1.179
0.192,-0.902,1.172
0.191,-0.921,1.149
0.2,-0.96,1.139
0.213,-0.997,1.132
0.234,-1.017,1.133
0.268,-1.072,1.133
0.293,-1.126,1.141
0.333,-1.16,1.162
0.386,-1.234,1.162
0.413,-1.307,1.185
0.472,-1.351,1.177
0.519,-1.424,1.159
0.578,-1.48,1.145
0.609,-1.545,1.12
